date,action,code,name,ret_pct_gross,ret_pct_net,realized_pl,cash,invested_total,total_assets,open_positions
2026-03-03,ENTER,309710,아이티켐,0,0,0,6666667.0,3333333.0,10000000.0,1
2026-03-03,ENTER,064400,LG씨엔에스,0,0,0,3333333.0,6666667.0,10000000.0,2
2026-03-03,ENTER,322310,오로스테크놀로지,0,0,0,0.0,10000000.0,10000000.0,3
2026-03-04,EXIT,309710,아이티켐,-5.11,-5.33,-177667.0,3155667.0,6666667.0,9822333.0,2
2026-03-04,EXIT,064400,LG씨엔에스,-4.03,-4.25,-141667.0,6347333.0,3333333.0,9680667.0,1
2026-03-04,EXIT,322310,오로스테크놀로지,-5.09,-5.31,-177000.0,9503667.0,0,9503667.0,0
2026-03-16,ENTER,003310,대주산업,0,0,0,6335778.0,3167889.0,9503667.0,1
2026-03-18,ENTER,327260,RF머트리얼즈,0,0,0,3167889.0,6335778.0,9503667.0,2
2026-03-19,ENTER,295310,에이치브이엠,0,0,0,0.0,9503667.0,9503667.0,3
2026-03-23,EXIT,327260,RF머트리얼즈,25.22,25.0,791972.0,3959861.0,6335778.0,10295639.0,2
2026-03-23,ENTER,448900,한국피아이엠,0,0,0,527981.0,9767657.0,10295639.0,3
2026-03-25,EXIT,448900,한국피아이엠,-15.02,-15.24,-523018.0,3436843.0,6335778.0,9772620.0,2
2026-03-25,ENTER,174900,앱클론,0,0,0,179303.0,9593318.0,9772620.0,3
2026-03-26,EXIT,003310,대주산업,-15.1,-15.32,-485321.0,2861871.0,6425429.0,9287300.0,2
2026-03-26,ENTER,298020,효성티앤씨,0,0,0,0.0,9287300.0,9287300.0,3
2026-04-01,EXIT,295310,에이치브이엠,-15.01,-15.23,-482469.0,2685419.0,6119411.0,8804830.0,2
2026-04-01,EXIT,174900,앱클론,-15.13,-15.35,-500032.0,5442927.0,2861871.0,8304798.0,1
2026-04-01,ENTER,131030,옵투스제약,0,0,0,2674661.0,5630137.0,8304798.0,2
2026-04-01,ENTER,424870,이뮨온시아,0,0,0,0.0,8304798.0,8304798.0,3
2026-04-03,EXIT,131030,옵투스제약,-15.05,-15.27,-422714.0,2345552.0,5536532.0,7882084.0,2
2026-04-03,EXIT,424870,이뮨온시아,-9.22,-9.44,-252488.0,4767725.0,2861871.0,7629596.0,1
2026-04-03,ENTER,054920,한컴위드,0,0,0,2224526.0,5405069.0,7629596.0,2
2026-04-06,ENTER,353200,대덕전자,0,0,0,0.0,7629596.0,7629596.0,3
2026-04-09,EXIT,298020,효성티앤씨,4.34,4.12,117909.0,2979780.0,4767725.0,7747505.0,2
2026-04-10,EXIT,353200,대덕전자,13.7,13.48,299866.0,5504172.0,2543199.0,8047371.0,1
2026-04-10,ENTER,373220,LG에너지솔루션,0,0,0,2821715.0,5225656.0,8047371.0,2
2026-04-13,ENTER,175330,JB금융지주,0,0,0,139258.0,7908113.0,8047371.0,3
2026-04-16,EXIT,054920,한컴위드,23.92,23.7,602738.0,3285195.0,5364914.0,8650109.0,2
2026-04-16,ENTER,252990,샘씨엔에스,0,0,0,401825.0,8248284.0,8650109.0,3
2026-04-21,EXIT,252990,샘씨엔에스,22.16,21.94,632611.0,3917806.0,5364914.0,9282720.0,2
