signal_date,code,name,label,action,skip_reason,skip_reason_detail,fill_date,open_positions_count,held_codes
20260323,278470,에이피알,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260331,078350,한양디지텍,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260401,001780,알루코,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260402,001780,알루코,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260520,066570,LG전자,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260608,170920,엘티씨,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260611,353200,대덕전자,🏆 최강,SKIP,NOT_FILLED,추천매수가 gap-up으로 체결 불가,,0,
20260227,309710,아이티켐,🏆 최강,EXECUTE,EXECUTED,,2026-03-03,0,
20260302,309710,아이티켐,🏆 최강,SKIP,SAME_TICKER_ALREADY_HELD,이미 보유 중,2026-03-03,1,309710
20260313,003310,대주산업,🏆 최강,EXECUTE,EXECUTED,,2026-03-16,0,
20260317,327260,RF머트리얼즈,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-03-18,1,003310
20260318,327260,RF머트리얼즈,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-03-19,1,003310
20260319,448900,한국피아이엠,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-03-23,1,003310
20260320,226950,올릭스,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-03-23,1,003310
20260324,298020,효성티앤씨,🏆 최강,EXECUTE,EXECUTED,,2026-03-26,0,
20260326,098070,한텍,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-03-27,1,298020
20260327,356860,티엘비,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-03-30,1,298020
20260330,078350,한양디지텍,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-03-31,1,298020
20260403,054920,한컴위드,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-06,1,298020
20260406,289930,웨이비스,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-07,1,298020
20260408,054920,한컴위드,🏆 최강,EXECUTE,EXECUTED,,2026-04-09,0,
20260409,373220,LG에너지솔루션,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-10,1,054920
20260410,175330,JB금융지주,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-13,1,054920
20260413,175330,JB금융지주,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-14,1,054920
20260414,139130,iM금융지주,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-15,1,054920
20260415,252990,샘씨엔에스,🏆 최강,EXECUTE,EXECUTED,,2026-04-16,0,
20260416,017800,현대엘리베이터,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-17,1,252990
20260417,096770,SK이노베이션,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-20,1,252990
20260420,017800,현대엘리베이터,🏆 최강,EXECUTE,EXECUTED,,2026-04-21,0,
20260421,310210,보로노이,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-22,1,017800
20260422,310210,보로노이,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-23,1,017800
20260423,307180,아이엘,🏆 최강,SKIP,SLOT_FULL,최대 1포지션 다 찼음,2026-04-24,1,017800
