date,code,name,sector,label,rank_score,entry,tp1,stop,outcome,exit_price,days_held,method,fill_date,ret_pct,net_pct
20260227,309710,아이티켐,기초 의약물질 제조업,🏆 최강,65.71,37200.0,42900.0,35300.0,LOSS,35300.0,1,ohlc_low_touch,2026-03-03,-5.11,-5.33
20260227,064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,59.96,74500.0,83500.0,71500.0,LOSS,71500.0,1,ohlc_low_touch,2026-03-03,-4.03,-4.25
20260227,322310,오로스테크놀로지,특수 목적용 기계 제조업,🏆 최강,57.08,28500.0,32850.0,27050.0,LOSS,27050.0,1,ohlc_low_touch,2026-03-03,-5.09,-5.31
20260302,309710,아이티켐,기초 의약물질 제조업,🏆 최강,65.71,37200.0,42900.0,35300.0,LOSS,35300.0,1,ohlc_low_touch,2026-03-03,-5.11,-5.33
20260302,064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,59.96,74500.0,83500.0,71500.0,LOSS,71500.0,1,ohlc_low_touch,2026-03-03,-4.03,-4.25
20260302,322310,오로스테크놀로지,특수 목적용 기계 제조업,🏆 최강,57.08,28500.0,32850.0,27050.0,LOSS,27050.0,1,ohlc_low_touch,2026-03-03,-5.09,-5.31
20260313,003310,대주산업,동물용 사료 및 조제식품 제조업,🏆 최강,57.78,4140.0,4945.0,3515.0,LOSS,3515.0,8,ohlc_low_touch,2026-03-16,-15.1,-15.32
20260317,327260,RF머트리얼즈,전자부품 제조업,🏆 최강,76.35,56300.0,70500.0,47850.0,WIN,70500.0,3,ohlc_high_touch,2026-03-18,25.22,25.0
20260317,380540,옵티코어,마그네틱 및 광학 매체 제조업,🏆 최강,55.79,4360.0,5250.0,3705.0,OPEN,4225.0,10,ohlc_horizon_close,2026-03-18,-3.1,-3.32
20260318,327260,RF머트리얼즈,전자부품 제조업,🏆 최강,67.63,55700.0,70500.0,47300.0,WIN,70500.0,2,ohlc_high_touch,2026-03-19,26.57,26.35
20260318,295310,에이치브이엠,1차 비철금속 제조업,🏆 최강,64.15,96600.0,116600.0,82100.0,LOSS,82100.0,9,ohlc_low_touch,2026-03-19,-15.01,-15.23
20260318,900290,GRT,기타 금융업,🏆 최강,56.17,6000.0,7490.0,5440.0,LOSS,5440.0,4,ohlc_low_touch,2026-03-19,-9.33,-9.55
20260319,448900,한국피아이엠,자동차 신품 부품 제조업,🏆 최강,63.75,112500.0,178400.0,95600.0,LOSS,95600.0,2,ohlc_low_touch,2026-03-23,-15.02,-15.24
20260319,298040,효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",🏆 최강,45.64,2693000.0,2941000.0,2328000.0,WIN,2941000.0,3,ohlc_high_touch,2026-03-23,9.21,8.99
20260320,226950,올릭스,자연과학 및 공학 연구개발업,🏆 최강,60.44,186900.0,217000.0,169500.0,LOSS,169500.0,1,ohlc_low_touch,2026-03-23,-9.31,-9.53
20260320,448900,한국피아이엠,자동차 신품 부품 제조업,🏆 최강,59.27,120700.0,178400.0,102500.0,LOSS,102500.0,1,ohlc_low_touch,2026-03-23,-15.08,-15.3
20260323,278470,에이피알,기타 화학제품 제조업,🏆 최강,76.8,324500.0,377000.0,290500.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260323,298020,효성티앤씨,화학섬유 제조업,🏆 최강,66.38,375500.0,440000.0,318500.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0
20260323,174900,앱클론,의료용품 및 기타 의약 관련제품 제조업,🏆 최강,64.23,70700.0,95800.0,60000.0,LOSS,60000.0,5,ohlc_low_touch,2026-03-25,-15.13,-15.35
