date,code,name,sector,label,rank_score,entry,tp1,stop,outcome,exit_price,days_held,method,fill_date,ret_pct,net_pct,tp2,tp3,tp1_hit,tp1_day,tp2_hit,tp2_day,tp3_hit,tp3_day,stop_hit,stop_day,tp1_before_stop,tp2_before_stop,tp3_before_stop,max_high_pct,min_low_pct,max_close_pct
20260227,309710,아이티켐,기초 의약물질 제조업,🏆 최강,65.71,37200.0,42900.0,35300.0,LOSS,35300.0,1,ohlc_low_touch,2026-03-03,-5.11,-5.33,43850.0,0.0,False,0,False,0,False,0,True,1,False,False,False,8.06,-30.24,-2.69
20260227,064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,59.96,74500.0,83500.0,71500.0,LOSS,71500.0,1,ohlc_low_touch,2026-03-03,-4.03,-4.25,85000.0,0.0,False,0,False,0,False,0,True,1,False,False,False,-2.15,-22.68,-8.46
20260227,322310,오로스테크놀로지,특수 목적용 기계 제조업,🏆 최강,57.08,28500.0,32850.0,27050.0,LOSS,27050.0,1,ohlc_low_touch,2026-03-03,-5.09,-5.31,33600.0,0.0,True,9,True,9,False,0,True,1,False,False,False,18.95,-18.07,15.79
20260302,309710,아이티켐,기초 의약물질 제조업,🏆 최강,65.71,37200.0,42900.0,35300.0,LOSS,35300.0,1,ohlc_low_touch,2026-03-03,-5.11,-5.33,43850.0,0.0,False,0,False,0,False,0,True,1,False,False,False,8.06,-30.24,-2.69
20260302,064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,59.96,74500.0,83500.0,71500.0,LOSS,71500.0,1,ohlc_low_touch,2026-03-03,-4.03,-4.25,85000.0,0.0,False,0,False,0,False,0,True,1,False,False,False,-2.15,-22.68,-8.46
20260302,322310,오로스테크놀로지,특수 목적용 기계 제조업,🏆 최강,57.08,28500.0,32850.0,27050.0,LOSS,27050.0,1,ohlc_low_touch,2026-03-03,-5.09,-5.31,33600.0,0.0,True,9,True,9,False,0,True,1,False,False,False,18.95,-18.07,15.79
20260313,003310,대주산업,동물용 사료 및 조제식품 제조업,🏆 최강,57.78,4140.0,4945.0,3515.0,LOSS,3515.0,8,ohlc_low_touch,2026-03-16,-15.1,-15.32,6090.0,7340.0,False,0,False,0,False,0,True,8,False,False,False,0.24,-18.48,-3.99
20260317,327260,RF머트리얼즈,전자부품 제조업,🏆 최강,76.35,56300.0,70500.0,47850.0,WIN,70500.0,3,ohlc_high_touch,2026-03-18,25.22,25.0,72900.0,85200.0,True,3,True,3,False,0,False,0,True,True,False,32.82,-6.62,29.23
20260317,380540,옵티코어,마그네틱 및 광학 매체 제조업,🏆 최강,55.79,4360.0,5250.0,3705.0,OPEN,4225.0,10,ohlc_horizon_close,2026-03-18,-3.1,-3.32,5720.0,6740.0,False,0,False,0,False,0,False,0,False,False,False,6.54,-10.55,-2.98
20260318,327260,RF머트리얼즈,전자부품 제조업,🏆 최강,67.63,55700.0,70500.0,47300.0,WIN,70500.0,2,ohlc_high_touch,2026-03-19,26.57,26.35,72300.0,84700.0,True,2,True,2,False,0,False,0,True,True,False,34.25,-2.96,30.63
